,,Site LCOE ($/MWh),Transmission LCOE ($/MWh),Site LCOE + Trans LCOE,,Capital Cost Transmission ($/MW),,,Net Capacity Factor,Grid Feature Connection,Resource Class,Capacity (MW),Onshore Distance,Distance from Point to Grid,Area (sq.km),,,ReEDS Demand Region
gid,line_join_gid,site_lcoe,trans_lcoe,full_lcoe,subjoin,cap_cost_trans,transmission_multiplier,region_sub_cost_mult,ncf,category,re_class,capacity,onshore_dist,dist_mi,sq_km,lat,lon,demreg
1248,35244,0.115391031,8.21885442,9.372764729,-999,132009.1332,1,1,0.179686174,PCALoadCen,12,3.6288,30.08901917,30.08901917,0.1134,-722389.324,-1855257.13,451
1249,35244,0.115649745,8.189900172,9.34639762,-999,131249.8237,1,1,0.17928423,PCALoadCen,12,52.6176,29.89541654,29.89541654,1.6443,-722389.324,-1858137.13,451
1250,35244,0.113539107,8.157495461,9.292886532,-999,133177.6476,1,1,0.18264024,PCALoadCen,12,6.9984,30.38695758,30.38695758,0.2187,-722389.324,-1852377.13,451
1251,35244,0.112444595,8.174818495,9.29926444,-999,134743.4871,1,1,0.184396058,PCALoadCen,12,1.0368,30.78620273,30.78620273,0.0324,-722389.324,-1849497.13,451
1252,35244,0.111543737,8.226622995,9.342060368,-999,136691.4401,1,1,0.185883865,PCALoadCen,12,9.3312,31.28287611,31.28287611,0.2916,-722389.324,-1846617.13,451
1253,35244,0.111537807,8.365338519,9.480716586,-999,139003.6443,1,1,0.185893685,PCALoadCen,12,16.0704,31.87242333,31.87242333,0.5022,-722389.324,-1843737.13,451
1254,35244,0.111485727,8.521234901,9.636092172,-999,141660.309,1,1,0.185980588,PCALoadCen,12,23.328,32.54979832,32.54979832,0.729,-722389.324,-1840857.13,451
1255,35244,0.11164473,8.910607012,10.02705431,-999,147922.3908,1,1,0.18571569,PCALoadCen,12,72.576,34.14645355,34.14645355,2.268,-722389.324,-1835097.13,451
1256,35244,0.11157234,8.707255864,9.822979265,-999,144640.4215,1,1,0.185836211,PCALoadCen,12,10.1088,33.30964342,33.30964342,0.3159,-722389.324,-1837977.13,451
1257,35244,0.111645356,9.355415901,10.47186946,-999,155305.8607,1,1,0.185714886,PCALoadCen,12,32.4,36.02903127,36.02903127,1.0125,-722389.324,-1829337.13,451
1258,35244,0.111624509,9.123521995,10.23976709,-999,151484.6013,1,1,0.18574962,PCALoadCen,12,10.1088,35.05471732,35.05471732,0.3159,-722389.324,-1832217.13,451
1259,35244,0.11121697,9.563047871,10.67521757,-999,159365.7412,1,1,0.186432064,PCALoadCen,12,75.168,37.06418695,37.06418695,2.349,-722389.324,-1826457.13,451
1260,35244,0.111051939,9.805340773,10.91586017,-999,163644.8228,1,1,0.186707407,PCALoadCen,12,20.2176,38.15523274,38.15523274,0.6318,-722389.324,-1823577.13,451
1261,35244,0.1107563,10.0467835,11.1543465,-999,168121.925,1,1,0.187205791,PCALoadCen,12,12.4416,39.29676823,39.29676823,0.3888,-722389.324,-1820697.13,451
1262,35244,0.110734008,10.61146652,11.7188066,-999,177606.7402,1,1,0.187243178,PCALoadCen,12,35.7696,41.7151301,41.7151301,1.1178,-722389.324,-1814937.13,451
1263,35244,0.11047636,10.29907177,11.40383537,-999,172780.0545,1,1,0.187679783,PCALoadCen,12,41.472,40.48446061,40.48446061,1.296,-722389.324,-1817817.13,451
1264,35244,0.110241055,11.16512381,12.26753436,-999,187709.097,1,1,0.18808049,PCALoadCen,12,25.4016,44.29094773,44.29094773,0.7938,-722389.324,-1809177.13,451
1265,35244,0.110430762,10.87912044,11.98342806,-999,182587.5055,1,1,0.187758341,PCALoadCen,12,45.1008,42.98508554,42.98508554,1.4094,-722389.324,-1812057.13,451
1266,35231,0.110840455,11.73319492,12.84159947,-999,196192.7044,1,1,0.187063277,PCALoadCen,12,116.8992,46.45402967,46.45402967,3.6531,-722389.324,-1803417.13,451
1267,35244,0.110625081,11.5173766,12.62362741,-999,192959.4243,1,1,0.187427968,PCALoadCen,12,11.1456,45.62963394,45.62963394,0.3483,-722389.324,-1806297.13,451
1268,35231,0.110718168,11.89425486,13.00143655,-999,199106.0628,1,1,0.187270433,PCALoadCen,12,142.3008,47.19685436,47.19685436,4.4469,-722389.324,-1800537.13,451
1269,35231,0.110551216,12.06304502,13.16855717,-999,202236.1529,1,1,0.187552914,PCALoadCen,12,11.9232,47.99493954,47.99493954,0.3726,-722389.324,-1797657.13,451
1270,37644,0.110512152,11.89793347,13.00305499,-999,199538.2904,1,1,0.187618941,PCALoadCen,12,95.904,47.30706029,47.30706029,2.997,-722389.324,-1794777.13,451
1271,37644,0.110526577,11.52418261,12.62944837,-999,193244.9867,1,1,0.187594488,PCALoadCen,12,147.744,45.70244434,45.70244434,4.617,-722389.324,-1791897.13,451
1272,37644,0.11008098,11.10723798,12.20804777,-999,187007.5001,1,1,0.18835403,PCALoadCen,12,94.0896,44.11206021,44.11206021,2.9403,-722389.324,-1789017.13,451
1273,37644,0.108845636,10.26103571,11.34949207,-999,174725.9164,1,1,0.190496981,PCALoadCen,13,143.5968,40.98060083,40.98060083,4.4874,-722389.324,-1783257.13,451
1274,37644,0.107903585,9.821510383,10.90054623,-999,168697.1735,1,1,0.192154914,PCALoadCen,13,92.5344,39.44344047,39.44344047,2.8917,-722389.324,-1780377.13,451
1275,37644,0.109721363,10.7052464,11.80246003,-999,180832.0915,1,1,0.188973457,PCALoadCen,12,41.472,42.53750421,42.53750421,1.296,-722389.324,-1786137.13,451
1276,37644,0.109721363,10.7052464,11.80246003,-999,180832.0915,1,1,0.188973457,PCALoadCen,13,29.0304,42.53750421,42.53750421,0.9072,-722389.324,-1786137.13,451
1277,37644,0.107159354,9.41015308,10.48174662,-999,162755.2775,1,1,0.193490818,PCALoadCen,13,18.144,37.92842363,37.92842363,0.567,-722389.324,-1777497.13,451
1278,37644,0.107787102,8.791948821,9.869819845,-999,151177.0103,1,1,0.192363456,PCALoadCen,13,6.9984,34.97629025,34.97629025,0.2187,-722389.324,-1771737.13,452
1279,37644,0.107992381,8.481887223,9.561811031,-999,145567.529,1,1,0.191996798,PCALoadCen,13,109.6416,33.54602982,33.54602982,3.4263,-722389.324,-1768857.13,452
1280,33857,0.107049197,6.286604148,7.357096118,8968,108842.2572,1,1,0.193688303,Substation,13,1.0368,27.75172291,27.75172291,0.0324,-722389.324,-1774617.13,451
1281,37644,0.108109325,8.172086335,9.253179586,-999,140099.2427,1,1,0.191789493,PCALoadCen,12,10.1088,32.15177018,32.15177018,0.3159,-722389.324,-1765977.13,452
1282,37644,0.108109325,8.172086335,9.253179586,-999,140099.2427,1,1,0.191789493,PCALoadCen,13,241.056,32.15177018,32.15177018,7.533,-722389.324,-1765977.13,452
1283,37644,0.108303308,7.577058751,8.660091836,-999,129665.8682,1,1,0.191446304,PCALoadCen,13,263.3472,29.49155232,29.49155232,8.2296,-722389.324,-1760217.13,452
1284,33845,0.108266108,6.731157631,7.813818708,8954,115229.9157,1,1,0.191512644,Substation,12,3.6288,29.38039667,29.38039667,0.1134,-722389.324,-1763097.13,452
1285,37644,0.108266108,7.873837936,8.956499013,-999,134791.3289,1,1,0.191512644,PCALoadCen,13,261.5328,30.79840104,30.79840104,8.1729,-722389.324,-1763097.13,452
1286,37644,0.108296193,7.289238818,8.372200749,-999,124748.1956,1,1,0.19145824,PCALoadCen,13,265.4208,28.23768372,28.23768372,8.2944,-722389.324,-1757337.13,452
1287,37644,0.108214736,7.010447649,8.092595009,-999,120067.2163,1,1,0.191602275,PCALoadCen,13,263.3472,27.0441653,27.0441653,8.2296,-722389.324,-1754457.13,452
1288,37644,0.10805133,6.742671939,7.823185238,-999,115655.6331,1,1,0.191891938,PCALoadCen,13,265.4208,25.91933532,25.91933532,8.2944,-722389.324,-1751577.13,452
1289,37644,0.10825111,6.515336143,7.59784724,-999,111550.0022,1,1,0.191537902,PCALoadCen,13,265.4208,24.87251457,24.87251457,8.2944,-722389.324,-1748697.13,452
1290,37644,0.108358636,6.302009339,7.385595704,-999,107790.5108,1,1,0.191347793,PCALoadCen,13,264.9024,23.91394971,23.91394971,8.2782,-722389.324,-1745817.13,452
1291,37644,0.108322218,6.102907345,7.186129526,-999,104420.3445,1,1,0.191412508,PCALoadCen,13,210.2112,23.05465184,23.05465184,6.5691,-722389.324,-1742937.13,452
1292,37644,0.108231738,5.782892339,6.865209721,-999,99028.00553,1,1,0.191573262,PCALoadCen,13,150.336,21.67975664,21.67975664,4.698,-722389.324,-1737177.13,452
1293,37644,0.108172454,5.923100639,7.004825179,-999,101484.509,1,1,0.191678151,PCALoadCen,13,43.8048,22.30609612,22.30609612,1.3689,-722389.324,-1740057.13,452
1294,37644,0.108308777,5.673927742,6.757015514,-999,97093.35683,1,1,0.191437796,PCALoadCen,13,59.616,21.18647548,21.18647548,1.863,-722389.324,-1734297.13,452
1295,33840,0.10846296,2.454267334,3.53889693,8964,41938.83901,1,1,0.191168576,Substation,13,5.4432,10.69322769,10.69322769,0.1701,-722389.324,-1731417.13,452
1296,37644,0.109935999,5.619978762,6.719338752,-999,94745.70873,1,1,0.188602239,PCALoadCen,12,163.5552,20.58789106,20.58789106,5.1111,-722389.324,-1725657.13,452
1297,37644,0.109955832,5.646213347,6.74577167,-999,95170.81335,1,1,0.188568205,PCALoadCen,12,265.4208,20.69628081,20.69628081,8.2944,-722389.324,-1722777.13,452
1298,33841,0.10942328,2.079955499,3.174188297,9181,35230.48769,1,1,0.189490125,Substation,12,0.5184,8.982786254,8.982786254,0.0162,-722389.324,-1728537.13,452
1299,33841,0.10942328,2.079955499,3.174188297,9181,35230.48769,1,1,0.189490125,Substation,13,0.5184,8.982786254,8.982786254,0.0162,-722389.324,-1728537.13,452
1300,37644,0.108896047,5.746087686,6.835048155,-999,97796.95277,1,1,0.190403551,PCALoadCen,13,265.4208,21.36587271,21.36587271,8.2944,-722389.324,-1717017.13,452
1301,37644,0.109178141,5.666493819,6.758275226,-999,96195.22013,1,1,0.189915776,PCALoadCen,12,82.1664,20.95747581,20.95747581,2.5677,-722389.324,-1719897.13,452
1302,37644,0.109178141,5.666493819,6.758275226,-999,96195.22013,1,1,0.189915776,PCALoadCen,13,183.2544,20.95747581,20.95747581,5.7267,-722389.324,-1719897.13,452
1303,37648,0.10886652,5.666599057,6.755264259,-999,96470.40323,1,1,0.190455526,PCALoadCen,13,265.4208,21.02763978,21.02763978,8.2944,-722389.324,-1714137.13,452
1304,37648,0.108620301,5.244558835,6.330761843,-999,89487.61786,1,1,0.190886825,PCALoadCen,13,265.4208,19.24722536,19.24722536,8.2944,-722389.324,-1711257.13,452
1305,37648,0.108598769,4.83479399,5.920781677,-999,82512.15441,1,1,0.190924615,PCALoadCen,13,265.4208,17.46867782,17.46867782,8.2944,-722389.324,-1708377.13,453
1306,37648,0.108552672,4.424763783,5.510290503,-999,75546.50244,1,1,0.191005662,PCALoadCen,13,265.4208,15.69263193,15.69263193,8.2944,-722389.324,-1705497.13,453
1307,37648,0.108499035,4.015594486,5.100584839,-999,68594.41759,1,1,0.191100091,PCALoadCen,13,265.4208,13.92004528,13.92004528,8.2944,-722389.324,-1702617.13,453
1308,37648,0.1084674,3.608699603,4.693373603,-999,61661.83705,1,1,0.191155896,PCALoadCen,13,263.6064,12.15243168,12.15243168,8.2377,-722389.324,-1699737.13,453
1309,37648,0.108730093,3.2124638,4.299764726,-999,54758.7144,1,1,0.190693974,PCALoadCen,13,265.4208,10.39232902,10.39232902,8.2944,-722389.324,-1696857.13,453
1310,37648,0.108673349,2.808803637,3.895537127,-999,47903.0485,1,1,0.190793574,PCALoadCen,13,265.1616,8.644326492,8.644326492,8.2863,-722389.324,-1693977.13,453
1311,37648,0.108326964,2.404002831,3.487272472,-999,41130.83864,1,1,0.191405565,PCALoadCen,13,265.4208,6.917602917,6.917602917,8.2944,-722389.324,-1691097.13,453
1312,37648,0.107856557,2.009141179,3.087706747,-999,34524.86108,1,1,0.192239866,PCALoadCen,13,265.1616,5.233263916,5.233263916,8.2863,-722389.324,-1688217.13,453
1313,37648,0.107335299,1.639934091,2.713287084,-999,28317.09638,1,1,0.193172053,PCALoadCen,13,265.4208,3.650458027,3.650458027,8.2944,-722389.324,-1685337.13,453
1314,37648,0.107507735,1.352372824,2.427450179,-999,23314.25506,1,1,0.192862183,PCALoadCen,13,258.4224,2.374873804,2.374873804,8.0757,-722389.324,-1682457.13,453
1315,37648,0.107815534,1.510178736,2.588334074,-999,25960.42279,1,1,0.192311555,PCALoadCen,13,264.384,3.049572359,3.049572359,8.262,-722389.324,-1676697.13,453
1316,37648,0.107741013,1.284834706,2.362244838,-999,22102.01368,1,1,0.192444965,PCALoadCen,13,255.8304,2.065786251,2.065786251,7.9947,-722389.324,-1679577.13,453
1317,37648,0.108228341,2.240046616,3.322330024,-999,38360.52785,1,1,0.1915797,PCALoadCen,13,265.4208,6.211251364,6.211251364,8.2944,-722389.324,-1670937.13,453
1318,37648,0.107835241,1.853710848,2.932063254,-999,31860.08428,1,1,0.192276806,PCALoadCen,13,265.1616,4.553820571,4.553820571,8.2863,-722389.324,-1673817.13,453
1319,37648,0.108492278,3.039248422,4.124171197,-999,51919.7331,1,1,0.191112116,PCALoadCen,13,265.4208,9.66846841,9.66846841,8.2944,-722389.324,-1665177.13,453
1320,37648,0.108487874,2.639174974,3.724053717,-999,45087.13292,1,1,0.191120118,PCALoadCen,13,265.4208,7.926346997,7.926346997,8.2944,-722389.324,-1668057.13,453
1321,37648,0.108569488,3.44502986,4.53072474,-999,58809.86826,1,1,0.190976173,PCALoadCen,13,203.472,11.42525963,11.42525963,6.3585,-722389.324,-1662297.13,453
1322,37648,0.108619303,3.852439371,4.938632396,-999,65734.55555,1,1,0.190888554,PCALoadCen,13,43.2864,13.19086067,13.19086067,1.3527,-722389.324,-1659417.13,453
1323,35244,0.118377902,8.844258351,10.02803737,-999,138469.9927,1,1,0.175152451,PCALoadCen,11,19.44,31.73635714,31.73635714,0.6075,-725269.324,-1866777.13,451
1324,35244,0.118377894,8.899347651,10.08312659,-999,139332.4856,1,1,0.175152436,PCALoadCen,11,6.48,31.95626864,31.95626864,0.2025,-725269.324,-1869657.13,451
1325,35244,0.116193555,8.65062095,9.812556503,-999,137999.3872,1,1,0.178464502,PCALoadCen,11,25.92,31.61636593,31.61636593,0.81,-725269.324,-1863897.13,451
1326,35244,0.116193555,8.65062095,9.812556503,-999,137999.3872,1,1,0.178464502,PCALoadCen,12,83.4624,31.61636593,31.61636593,2.6082,-725269.324,-1863897.13,451
1327,35244,0.115560144,8.599726943,9.755328385,-999,137925.1337,1,1,0.179424077,PCALoadCen,12,44.8416,31.59743339,31.59743339,1.4013,-725269.324,-1861017.13,451
1328,35244,0.115603589,8.623057634,9.77909352,-999,138247.943,1,1,0.179357424,PCALoadCen,12,5.184,31.67974068,31.67974068,0.162,-725269.324,-1858137.13,451
1329,35244,0.114937425,8.617867423,9.76724167,-999,138964.7378,1,1,0.180395946,PCALoadCen,12,4.4064,31.86250327,31.86250327,0.1377,-725269.324,-1855257.13,451
1330,8711,0.112625651,0.868418274,1.994674784,-999,14290.79827,1,1,0.184098184,TransLine,12,1.5552,0.074145403,0.074145403,0.0486,-725269.324,-1852377.13,451
1331,35244,0.112116657,8.562615121,9.683781693,-999,141550.0681,1,1,0.184937775,PCALoadCen,12,1.5552,32.52168997,32.52168997,0.0486,-725269.324,-1849497.13,451
1332,35244,0.111562215,8.631535288,9.747157436,-999,143395.5937,1,1,0.185853064,PCALoadCen,12,155.0016,32.99224724,32.99224724,4.8438,-725269.324,-1846617.13,451
1333,35244,0.111598171,8.766417777,9.88239949,-999,145590.05,1,1,0.185793921,PCALoadCen,12,251.9424,33.55177206,33.55177206,7.8732,-725269.324,-1843737.13,451
1334,35244,0.11233025,8.977071356,10.10037386,-999,148116.3103,1,1,0.184582353,PCALoadCen,12,147.4848,34.19589757,34.19589757,4.6089,-725269.324,-1840857.13,451
1335,35244,0.111365482,9.070484319,10.18413914,-999,150956.0145,1,1,0.18618381,PCALoadCen,12,147.4848,34.9199425,34.9199425,4.6089,-725269.324,-1837977.13,451
1336,35244,0.111469135,9.267495059,10.38218641,-999,154090.1029,1,1,0.186009169,PCALoadCen,12,139.7088,35.71904715,35.71904715,4.3659,-725269.324,-1835097.13,451
1337,35244,0.111502677,9.475378377,10.59040515,-999,157499.2885,1,1,0.185953349,PCALoadCen,12,55.728,36.58829384,36.58829384,1.7415,-725269.324,-1832217.13,451
1338,35244,0.111663602,9.709920564,10.82655659,-999,161164.4537,1,1,0.185684457,PCALoadCen,12,36.0288,37.52280819,37.52280819,1.1259,-725269.324,-1829337.13,451
1339,35244,0.110910371,9.877927128,10.98703084,-999,165066.9683,1,1,0.186946064,PCALoadCen,12,72.0576,38.51783995,38.51783995,2.2518,-725269.324,-1826457.13,451
1340,35244,0.110915884,10.12512903,11.23428787,-999,169188.9274,1,1,0.18693617,PCALoadCen,12,14.5152,39.56882391,39.56882391,0.4536,-725269.324,-1823577.13,451
1341,35244,0.110899597,10.38239582,11.4913918,-999,173513.32,1,1,0.186963663,PCALoadCen,12,4.9248,40.67142274,40.67142274,0.1539,-725269.324,-1820697.13,451
1342,35244,0.110847294,10.64699383,11.75546677,-999,178020.4124,1,1,0.18705304,PCALoadCen,12,9.5904,41.82060489,41.82060489,0.2997,-725269.324,-1817817.13,451
1343,35231,0.111172274,10.80543491,11.91715765,-999,180142.8598,1,1,0.186507702,PCALoadCen,12,88.3872,42.36176945,42.36176945,2.7621,-725269.324,-1814937.13,451
1344,35231,0.110772878,10.88738848,11.99511726,-999,182164.9059,1,1,0.187181517,PCALoadCen,12,23.8464,42.87733449,42.87733449,0.7452,-725269.324,-1812057.13,451
1345,35231,0.110315412,10.97878349,12.08193761,-999,184452.1725,1,1,0.187953979,PCALoadCen,12,8.0352,43.46052332,43.46052332,0.2511,-725269.324,-1809177.13,451
1346,35231,0.110634759,11.16229644,12.26864404,-999,186994.1399,1,1,0.187411577,PCALoadCen,12,89.9424,44.10865372,44.10865372,2.8107,-725269.324,-1806297.13,451
1347,35231,0.110870682,11.35277058,12.46147739,-999,189779.7587,1,1,0.187012225,PCALoadCen,12,117.4176,44.8189084,44.8189084,3.6693,-725269.324,-1803417.13,451
1348,35231,0.11109262,11.55638745,12.66731364,-999,192797.6413,1,1,0.186638653,PCALoadCen,12,109.9008,45.58838381,45.58838381,3.4344,-725269.324,-1800537.13,451
1349,35231,0.110496596,11.89301675,12.9979827,-999,199483.9828,1,1,0.18764542,PCALoadCen,12,67.9104,47.29321337,47.29321337,2.1222,-725269.324,-1794777.13,451
1350,35231,0.110548802,11.69293968,12.79842769,-999,196036.2362,1,1,0.187557578,PCALoadCen,12,54.9504,46.41413469,46.41413469,1.7172,-725269.324,-1797657.13,451
1351,37644,0.110556617,11.72228977,12.82785595,-999,196513.8424,1,1,0.18754378,PCALoadCen,12,50.544,46.53591087,46.53591087,1.5795,-725269.324,-1791897.13,451
1352,37644,0.110159807,11.31633793,12.417936,-999,190391.9854,1,1,0.188219547,PCALoadCen,12,111.1968,44.97500903,44.97500903,3.4749,-725269.324,-1789017.13,451
1353,37644,0.108443998,10.43598246,11.52042244,-999,178363.4924,1,1,0.191202953,PCALoadCen,13,117.1584,41.90808068,41.90808068,3.6612,-725269.324,-1783257.13,451
1354,37644,0.109389,10.87988048,11.97377047,-999,184339.3207,1,1,0.189546525,PCALoadCen,12,19.44,43.43174929,43.43174929,0.6075,-725269.324,-1786137.13,451
1355,37644,0.109389,10.87988048,11.97377047,-999,184339.3207,1,1,0.189546525,PCALoadCen,13,132.9696,43.43174929,43.43174929,4.1553,-725269.324,-1786137.13,451
1356,37644,0.107536279,10.00684962,11.08221241,-999,172473.1931,1,1,0.19281739,PCALoadCen,13,108.3456,40.40621954,40.40621954,3.3858,-725269.324,-1780377.13,451
1357,37644,0.106754206,9.600621052,10.66816311,-999,166678.322,1,1,0.194223493,PCALoadCen,13,56.2464,38.92868995,38.92868995,1.7577,-725269.324,-1777497.13,451
1358,37644,0.10796307,8.737016733,9.816647435,-999,149987.3233,1,1,0.192049578,PCALoadCen,13,29.808,34.67295342,34.67295342,0.9315,-725269.324,-1768857.13,452
1359,33859,0.106555171,5.812481342,6.878033055,9187,101100.1604,1,1,0.194586292,Substation,13,0.2592,25.77770534,25.77770534,0.0081,-725269.324,-1774617.13,451
1360,37644,0.107921101,8.425969016,9.505180027,-999,144704.0796,1,1,0.19212456,PCALoadCen,13,207.36,33.32587445,33.32587445,6.48,-725269.324,-1765977.13,452
1361,33857,0.106817901,6.398879589,7.467058601,8968,111027.1073,1,1,0.194109619,Substation,13,1.296,28.30879839,28.30879839,0.0405,-725269.324,-1771737.13,452
1362,37644,0.10806749,8.139297138,9.21997204,-999,139590.9334,1,1,0.191863462,PCALoadCen,13,256.8672,32.02216558,32.02216558,8.0271,-725269.324,-1763097.13,452
1363,37644,0.108129561,7.856858133,8.938153742,-999,134669.5094,1,1,0.191753075,PCALoadCen,13,265.1616,30.76734048,30.76734048,8.2863,-725269.324,-1760217.13,452
1364,37644,0.10823606,7.589808936,8.672169532,-999,129964.2197,1,1,0.191564456,PCALoadCen,13,265.4208,29.56762358,29.56762358,8.2944,-725269.324,-1757337.13,452
1365,37644,0.108123079,7.321566177,8.402796966,-999,125502.4296,1,1,0.191765338,PCALoadCen,13,264.384,28.42999224,28.42999224,8.262,-725269.324,-1754457.13,452
1366,37644,0.107864127,7.060326943,8.138968209,-999,121314.5152,1,1,0.192225024,PCALoadCen,13,265.4208,27.36219153,27.36219153,8.2944,-725269.324,-1751577.13,452
1367,37644,0.108027868,6.844834775,7.925113455,-999,117433.7486,1,1,0.191934004,PCALoadCen,13,261.2736,26.37270489,26.37270489,8.1648,-725269.324,-1748697.13,452
1368,37644,0.10831394,6.656211964,7.739351369,-999,113895.9325,1,1,0.191426933,PCALoadCen,13,264.1248,25.47066102,25.47066102,8.2539,-725269.324,-1745817.13,452
1369,37644,0.108339317,6.473181039,7.556574211,-999,110738.7003,1,1,0.191383123,PCALoadCen,13,233.5392,24.66565534,24.66565534,7.2981,-725269.324,-1742937.13,452
1370,37644,0.108133718,6.301131311,7.382468495,-999,108000.4082,1,1,0.191747114,PCALoadCen,13,102.9024,23.96746766,23.96746766,3.2157,-725269.324,-1740057.13,452
1371,37644,0.107946649,6.157374534,7.236841026,-999,105718.5867,1,1,0.192078054,PCALoadCen,13,141.7824,23.38566719,23.38566719,4.4307,-725269.324,-1737177.13,452
1372,33840,0.107412614,2.602601034,3.676727173,8963,44907.35527,1,1,0.193033129,Substation,13,9.072,11.45011608,11.45011608,0.2835,-725269.324,-1731417.13,452
1373,33840,0.108236313,2.273318321,3.35568145,8964,38928.16097,1,1,0.191569164,Substation,13,7.776,9.925589233,9.925589233,0.243,-725269.324,-1728537.13,452
1374,37644,0.107706755,6.039630843,7.116698397,-999,103927.9899,1,1,0.192505926,PCALoadCen,13,87.3504,22.92911523,22.92911523,2.7297,-725269.324,-1734297.13,452
1375,37644,0.109438248,6.031874281,7.126256761,-999,102154.6276,1,1,0.18946445,PCALoadCen,12,134.784,22.47695757,22.47695757,4.212,-725269.324,-1722777.13,452
1376,37644,0.109438248,6.031874281,7.126256761,-999,102154.6276,1,1,0.18946445,PCALoadCen,13,130.6368,22.47695757,22.47695757,4.0824,-725269.324,-1722777.13,452
1377,33839,0.109140508,1.963851854,3.055256933,8953,33350.31324,1,1,0.18998231,Substation,12,35.7696,8.503394502,8.503394502,1.1178,-725269.324,-1725657.13,452
1378,37644,0.109140508,5.992392235,7.083797314,-999,101763.3574,1,1,0.18998231,PCALoadCen,13,71.0208,22.37719465,22.37719465,2.2194,-725269.324,-1725657.13,452
1379,33839,0.108852983,1.369737123,2.458266948,8957,23322.04321,1,1,0.190480858,Substation,12,24.3648,5.946466906,5.946466906,0.7614,-725269.324,-1719897.13,452
1380,37644,0.108852983,6.055139237,7.143669062,-999,103098.7746,1,1,0.190480858,PCALoadCen,13,241.056,22.71768858,22.71768858,7.533,-725269.324,-1719897.13,452
1381,37648,0.108944178,6.060859283,7.150301059,-999,103108.7782,1,1,0.190319553,PCALoadCen,13,265.4208,22.7202392,22.7202392,8.2944,-725269.324,-1717017.13,452
1382,37648,0.108875871,5.644760123,6.733518831,-999,96090.59372,1,1,0.190439641,PCALoadCen,13,265.4208,20.93079901,20.93079901,8.2944,-725269.324,-1714137.13,452
1383,37648,0.108532101,4.805025711,5.89034672,-999,82054.48898,1,1,0.191041887,PCALoadCen,13,265.4208,17.35198597,17.35198597,8.2944,-725269.324,-1708377.13,453
1384,37648,0.108539015,5.216323707,6.301713857,-999,89072.48909,1,1,0.191029757,PCALoadCen,13,265.4208,19.14137917,19.14137917,8.2944,-725269.324,-1711257.13,453
1385,37648,0.108345702,4.386516323,5.469973345,-999,75036.62941,1,1,0.191370741,PCALoadCen,13,265.4208,15.56262861,15.56262861,8.2944,-725269.324,-1705497.13,453
1386,37648,0.108349726,3.976425224,5.05992248,-999,68018.96519,1,1,0.191363528,PCALoadCen,13,265.4208,13.77332106,13.77332106,8.2944,-725269.324,-1702617.13,453
1387,37648,0.108455345,3.569658493,4.654211943,-999,61001.58379,1,1,0.191177338,PCALoadCen,13,265.4208,11.98408562,11.98408562,8.2944,-725269.324,-1699737.13,453
1388,37648,0.108693421,3.165982519,4.252916728,-999,53984.63415,1,1,0.190758377,PCALoadCen,13,265.4208,10.19496026,10.19496026,8.2944,-725269.324,-1696857.13,453
1389,37648,0.108613744,2.752485838,3.838623282,-999,46968.39192,1,1,0.190898523,PCALoadCen,13,265.4208,8.406015278,8.406015278,8.2944,-725269.324,-1693977.13,453
1390,37648,0.107656419,1.913421664,2.989985857,-999,32941.17447,1,1,0.192597374,PCALoadCen,13,265.4208,4.829468249,4.829468249,8.2944,-725269.324,-1688217.13,453
1391,37648,0.107361317,1.502421931,2.576035098,-999,25936.39045,1,1,0.193125486,PCALoadCen,13,265.4208,3.043444785,3.043444785,8.2944,-725269.324,-1685337.13,453
1392,37648,0.108138546,2.331126325,3.412511788,-999,39953.43086,1,1,0.191738904,PCALoadCen,13,265.4208,6.617396956,6.617396956,8.2944,-725269.324,-1691097.13,453
1393,37648,0.108016908,0.94244447,2.022613552,-999,16170.74872,1,1,0.191953629,PCALoadCen,13,265.4208,0.553480041,0.553480041,8.2944,-725269.324,-1679577.13,453
1394,37648,0.107674621,1.102131756,2.178877966,-999,18970.76984,1,1,0.192563251,PCALoadCen,13,261.0144,1.267406893,1.267406893,8.1567,-725269.324,-1682457.13,453
1395,37648,0.108060479,1.344615323,2.425220114,-999,23062.0769,1,1,0.191876739,PCALoadCen,13,265.4208,2.310575446,2.310575446,8.2944,-725269.324,-1676697.13,453
1396,37648,0.108036801,1.752472119,2.832840131,-999,30064.00121,1,1,0.19191885,PCALoadCen,13,265.4208,4.095869763,4.095869763,8.2944,-725269.324,-1673817.13,453
1397,37648,0.108133517,2.163157634,3.244492806,-999,37076.06642,1,1,0.191746503,PCALoadCen,13,265.1616,5.883749725,5.883749725,8.2863,-725269.324,-1670937.13,453
1398,37648,0.108546779,2.582283636,3.667751421,-999,44091.18405,1,1,0.191016018,PCALoadCen,13,265.4208,7.672407968,7.672407968,8.2944,-725269.324,-1668057.13,453
1399,37648,0.108562626,2.993650436,4.079276695,-999,51107.62298,1,1,0.190988213,PCALoadCen,13,265.4208,9.461403105,9.461403105,8.2944,-725269.324,-1665177.13,453
1400,37648,0.108594432,3.405678993,4.491623318,-999,58124.7529,1,1,0.190932289,PCALoadCen,13,265.1616,11.25057443,11.25057443,8.2863,-725269.324,-1662297.13,453
1401,37648,0.108533494,3.814705322,4.900040263,-999,65142.28937,1,1,0.19103986,PCALoadCen,13,258.4224,13.03984941,13.03984941,8.0757,-725269.324,-1659417.13,453
